"nlcd_sage_1988_mos_rec_v1","nlcd_sage_1989_mos_rec_v1","nlcd_sage_1990_mos_rec_v1","nlcd_sage_1991_mos_rec_v1","nlcd_sage_1992_mos_rec_v1","nlcd_sage_1993_mos_rec_v1","nlcd_sage_1994_mos_rec_v1","nlcd_sage_1995_mos_rec_v1","nlcd_sage_1996_mos_rec_v1","nlcd_sage_1997_mos_rec_v1","nlcd_sage_1998_mos_rec_v1","nlcd_sage_1999_mos_rec_v1","nlcd_sage_2000_mos_rec_v1","nlcd_sage_2001_mos_rec_v1","nlcd_sage_2002_mos_rec_v1","nlcd_sage_2003_mos_rec_v1","nlcd_sage_2004_mos_rec_v1","nlcd_sage_2005_mos_rec_v1","nlcd_sage_2006_mos_rec_v1","nlcd_sage_2007_mos_rec_v1","nlcd_sage_2008_mos_rec_v1","nlcd_sage_2009_mos_rec_v1","nlcd_sage_2010_mos_rec_v1","nlcd_sage_2011_mos_rec_v1","nlcd_sage_2013_mos_rec_v1","nlcd_sage_2014_mos_rec_v1","nlcd_sage_2015_mos_rec_v1","nlcd_sage_2016_mos_rec_v1","nlcd_sage_2017_mos_rec_v1","nlcd_sage_2018_mos_rec_v1"
0,5,8,10,9,13,15,14,14,15,15,14,15,15,15,15,15,15,15,14,14,15,15,15,15,15,15,15,15,15
0,5,8,10,12,13,17,16,17,17,16,17,17,17,17,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
0,5,8,10,13,13,15,14,14,24,23,22,26,25,24,23,22,26,26,26,26,26,26,26,26,26,26,26,26,26
0,5,8,10,13,15,14,15,15,24,23,22,26,25,26,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26
0,5,8,8,9,10,11,14,13,14,14,13,14,14,14,13,12,14,14,14,14,14,14,14,14,14,14,14,14,14
0,5,8,10,9,15,18,18,17,18,17,16,15,14,13,14,13,18,18,17,17,18,18,18,18,18,18,18,18,18
0,5,8,10,10,15,15,14,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0,5,8,10,11,13,14,13,14,18,17,16,18,17,18,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18
0,5,8,10,11,13,17,16,15,17,17,16,17,17,17,17,17,17,17,16,16,17,17,17,17,17,17,17,17,17
0,5,8,9,8,15,17,17,16,15,14,13,17,16,15,14,17,17,16,14,14,13,17,17,17,17,17,17,17,17
0,5,8,9,9,14,18,19,19,19,19,19,19,18,19,18,19,19,18,18,18,17,19,19,19,19,19,19,19,19
0,5,6,5,9,10,12,12,11,12,12,12,12,12,11,12,11,12,11,12,12,12,12,11,12,12,12,12,12,12
0,0,6,6,5,10,10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10,11,10,10,10,10,10
0,5,8,10,9,13,13,13,13,13,13,13,13,13,13,13,12,11,13,13,13,12,13,13,13,13,12,13,13,12
0,5,8,10,11,14,14,14,13,14,14,14,14,14,14,14,14,13,14,13,13,14,14,14,14,14,14,14,14,14
0,5,8,10,11,14,14,13,13,14,14,14,14,14,14,14,14,13,12,14,14,14,14,14,14,14,14,14,14,14
0,5,8,10,9,15,14,14,13,16,15,14,16,15,14,16,15,14,13,15,15,16,16,16,16,16,16,16,16,16
0,5,8,10,11,15,14,13,19,19,18,17,16,15,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19
0,5,8,10,12,13,18,17,16,18,17,16,18,17,16,15,18,18,18,18,18,18,18,18,18,18,18,18,18,18
0,5,7,8,7,14,14,14,13,14,14,14,14,14,13,14,13,12,11,14,14,14,14,14,15,14,14,14,14,14
0,3,8,10,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,14,13,12,11,12,11,12,11,11,11
0,0,5,4,3,12,12,12,11,12,12,12,12,12,12,12,11,10,9,11,11,10,12,11,12,12,12,12,12,11
0,0,5,4,3,9,9,9,8,9,9,9,9,9,9,9,9,9,10,10,10,9,8,9,10,9,9,8,9,8
0,0,5,4,3,9,9,9,8,9,10,9,9,9,9,10,9,9,9,10,10,10,9,9,10,9,10,9,9,8
0,4,8,7,6,11,11,11,10,11,11,10,11,11,11,11,10,9,9,11,11,10,11,10,11,11,11,11,11,10
0,5,8,10,11,13,15,17,16,15,19,18,17,16,15,16,15,14,13,13,13,13,13,13,13,13,13,13,13,13
0,5,8,10,12,15,15,14,13,15,14,13,15,15,15,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15
0,5,5,10,10,10,10,10,9,10,10,10,10,13,12,13,12,11,10,13,13,12,11,12,10,10,11,10,10,10
0,5,8,10,9,15,14,13,13,15,15,15,15,15,15,14,13,12,13,14,14,14,13,15,15,15,15,15,15,15
0,5,8,10,9,14,14,16,15,24,23,22,21,20,19,18,24,23,24,24,24,24,24,24,24,24,23,24,24,24
0,5,8,10,13,15,16,16,15,21,20,19,18,17,16,16,15,15,21,21,21,21,20,21,21,21,21,21,21,21
0,5,8,10,11,13,18,17,16,18,17,16,18,17,18,17,18,17,16,17,17,18,18,18,18,18,18,18,18,18
0,0,8,10,10,10,10,10,10,14,13,12,11,10,14,13,12,11,10,15,15,14,13,13,11,10,11,10,12,13
0,0,8,8,7,7,7,12,11,10,12,11,10,9,8,7,7,10,9,13,13,13,12,11,9,8,8,7,9,10
0,5,7,10,9,8,7,12,11,12,11,10,9,8,7,12,11,10,9,14,14,13,12,11,9,8,7,9,9,11
0,0,0,0,0,9,9,9,8,9,9,9,9,9,9,8,9,8,7,10,10,9,8,9,10,9,9,8,9,8
0,0,7,6,5,8,8,8,7,8,9,8,8,8,8,8,9,9,8,10,10,10,9,8,9,8,9,8,8,7
